Timestamp,Location,Mode,Position,KillCount
2018/03/14 2:08:11 PM EST,A3,Squad,3,4
2018/03/15 12:57:03 AM EST,A8,Solo,2,8
2018/03/15 1:44:33 AM EST,B2,Solo,1,8
2018/03/15 2:31:14 AM EST,F2,Solo,1,5
2018/03/15 2:50:29 PM EST,G1,Solo,1,3
2018/03/15 6:47:36 PM EST,C5,Squad,1,5
2018/03/15 10:43:11 PM EST,J1,Solo,3,0
2018/03/15 10:43:32 PM EST,J1,Solo,3,0
2018/03/16 12:50:33 AM EST,H6,Solo,1,2
2018/03/16 2:43:56 AM EST,B2,Duo,1,4
2018/03/16 3:02:15 AM EST,D9,Solo,1,3
2018/03/16 9:55:07 AM EST,D5,Solo,1,11
2018/03/16 10:58:28 AM EST,A1,Solo,1,4
2018/03/16 4:43:04 PM EST,C3,Solo,1,4
2018/03/16 6:19:23 PM EST,A5,Solo,12,1
2018/03/16 9:22:20 PM EST,F10,Solo,1,5
2018/03/16 9:41:23 PM EST,A5,Solo,5,5
2018/03/16 9:50:40 PM EST,F7,Solo,40,4
2018/03/16 11:14:28 PM EST,H6,Squad,4,7
2018/03/16 11:23:02 PM EST,D5,Squad,3,15
2018/03/16 11:39:24 PM EST,D5,Squad,3,15
2018/03/16 11:39:58 PM EST,G8,Squad,4,3
2018/03/17 12:23:25 AM EST,C7,Duo,16,2
2018/03/17 12:38:20 AM EST,D9,Duo,9,1
2018/03/17 1:00:08 AM EST,I3,Duo,7,2
2018/03/17 1:22:25 AM EST,F10,Duo,11,3
2018/03/17 2:49:35 AM EST,C2,Solo,5,6
2018/03/17 10:30:13 AM EST,D8,Solo,1,4
2018/03/17 11:13:26 AM EST,F10,Duo,12,1
2018/03/17 11:29:31 AM EST,D5,Duo,11,5
2018/03/17 11:34:09 AM EST,D5,Solo,79,0
2018/03/17 11:59:27 AM EST,D5,Solo,1,9
2018/03/17 12:10:40 PM EST,D5,Solo,27,5
2018/03/17 2:10:25 PM EST,D5,Solo,10,5
2018/03/17 2:22:52 PM EST,G7,Solo,20,0
2018/03/17 2:34:07 PM EST,I6,Solo,23,0
2018/03/17 2:45:24 PM EST,A4,Solo,18,0
2018/03/17 3:08:02 PM EST,D5,Solo,10,7
2018/03/17 3:13:41 PM EST,D5,Solo,42,1
2018/03/17 8:26:14 PM EST,C5,Solo,1,1
2018/03/17 8:51:39 PM EST,C3,Solo,9,9
2018/03/17 9:29:56 PM EST,D5,Solo,42,1
2018/03/17 9:30:23 PM EST,D5,Solo,3,3
2018/03/17 9:47:10 PM EST,E4,Solo,8,3
2018/03/17 10:15:38 PM EST,I8,Duo,2,3
2018/03/18 1:20:57 AM EST,D3,Solo,1,1
2018/03/18 1:30:59 PM EST,H6,Squad,1,5
2018/03/18 5:48:12 PM EST,I8,Duo,2,3
2018/03/18 5:48:58 PM EST,G8,Solo,1,6
2018/03/18 6:09:10 PM EST,A1,Solo,12,3
2018/03/18 6:09:29 PM EST,A1,Solo,12,3
2018/03/18 6:11:51 PM EST,A3,Duo,99,0
2018/03/18 6:13:24 PM EST,B7,Duo,99,0
2018/03/18 7:06:48 PM EST,E4,Solo,4,1
2018/03/18 7:07:12 PM EST,D5,Solo,4,9
2018/03/19 12:24:23 AM EST,H10,Solo,5,2
2018/03/19 1:45:49 AM EST,A3,Solo,1,0
2018/03/19 10:59:56 AM EST,E4,Squad,1,3
2018/03/19 2:49:21 PM EST,F8,Squad,2,2
2018/03/19 2:49:26 PM EST,F8,Squad,2,2
2018/03/19 9:55:54 PM EST,F8,Squad,4,5
2018/03/19 10:26:09 PM EST,E9,Duo,1,6
2018/03/19 10:38:53 PM EST,D9,Solo,2,4
2018/03/20 4:46:09 AM EST,J10,Solo,1,7
